Collections
Data For,Amount,Employer,Contributor
Closing Collection Total,110205895508.19,9086,2737255
Collection Total,110205895508.19,9086,2737255
Penalty Total,39.24,0,0
Collection Today,36813540.03,188,5020
"Medical Treatment, Health and Maternity Protection Scheme",3164206834.95,0,0
Accident and Disability Protection Scheme,3688957282.91,0,0
Dependent Family  Protection Scheme,1145652954.9,0,0
Old Age Protection Scheme,59721048636.64,0,0
General Gratuity Fund,24704581882.44,0,0
Special Privilege Gratuity Surplus Fund,45884950.41,0,0
Addition Contribution Fund(GAP 28.33-33%),1422174938.02,0,0
Transfer from different Pension Fund,1386649084.01,0,0
Retirement Return Fund,2758274787.57,0,0
"Medical,Accident, and Dependent for Migrant Contributor",2081255840.3,0,0
Old Age Protection Fund for Migrant Contributor,3872368276.67,0,0
General Gratuity Fund for Migrant Contributor,63391009.87,0,0
"Medical, Accident and Dependent for Informal Contributor",11985442.35,0,0
Old Age Protection Fund for Informal Contributor,11612168.48,0,0
General Gratuity Fund for Informal Contributor,398705.94,0,0
Medical Scheme for Self Employed Contributor,1741084.35,0,0
Accident and Disability Protection Scheme for Self Employed Contributor,667454.22,0,0
Dependent Family  Protection Scheme for Self Employed Contributor,1269424.7,0,0
Pension Fund for Self Employed Contributor,15663763.42,0,0
Extra Gratuity Fund for Self Employed Contributor,2249227.18,0,0
Gratuity Fund for Self Employed Contributor,4917624.2,0,0
Pension Return Fund,5908705771.89,0,0
Pension Interest for Migrant Contributor,174475837.27,0,0
Gratuity Interest for Migrant Contributor,1314061.06,0,0
Pension Interest For Informal Contributor,153692.83,0,0
Gratuity Interest For Informal Contributor,3794.3,0,0
Pension Interest for Self Employed Contributor,217273.39,0,0
Gratuity Interest for Self Employed Contributor,18907.31,0,0
Discount Return for Migrant Contributor,326737.33,0,0
Discount Return for Informal Contributor,4187.6,0,0
